Unnamed: 0,Polish,English
332,człowiek ,man 
333,twoją ,your 
334,znaleźć ,to find 
335,chwilę ,moments 
336,chciał ,he wanted 
337,kogo ,whom 
338,zostać ,stay 
339,czegoś ,something 
340,wszystkim ,everything 
341,został ,left 
342,roku ,year 
343,mówić ,to talk 
344,jesteście ,you are 
345,facet ,guy 
346,mów ,speak 
347,powiedziałem ,I said 
348,były ,were 
349,którzy ,who 
350,dziecko ,kid 
351,idziemy ,let's go 
352,sama ,alone 
353,macie ,you have 
354,mówiłem ,I told you 
355,we ,in 
356,napisy ,writings 
357,mogą ,they can 
358,spokojnie ,Relax 
359,sobą ,yourself 
360,bym ,I would 
361,miała ,she had 
362,przecież ,yet 
363,dom ,House 
364,poza ,apart from 
365,zamknij ,close 
366,byłeś ,you were 
367,lubię ,I like 
368,oh ,oh 
369,żadnych ,none 
370,pomocy ,help 
371,prawie ,almost 
372,gdzieś ,somewhere 
373,porozmawiać ,talk 
374,wcześniej ,before 
375,podoba ,I like it 
376,zrobię ,I will 
377,czekaj ,Wait 
378,dość ,enough 
379,twojego ,yours 
380,lub ,or 
381,moich ,mine 
382,razy ,times 
383,znasz ,you know 
384,mały ,small 
385,ciągle ,all the time 
386,jakby ,as if 
387,wydaje ,spends 
388,mama ,mom 
389,powinniśmy ,we should 
390,jeżeli ,if 
391,jack ,jack 
392,powinieneś ,you should 
393,innego ,another 
394,sprawy ,Affairs 
395,rozumiesz ,You understand 
396,trzymaj ,hold 
397,końcu ,finally 
398,powodu ,reason 
399,jedno ,one thing 
400,pamiętasz ,Do you remember 
401,pomysł ,idea 
402,noc ,night 
403,pewien ,a 
404,którą ,which 
405,wiemy ,we know 
406,bądź ,be 
407,żebym ,so that 
408,numer ,number 
409,oczy ,Eyes 
410,lata ,years 
411,dwie ,two 
412,miejscu ,place 
413,dokąd ,where 
414,och ,oh 
415,pokoju ,peace 
416,chodźmy ,let's go 
417,ojca ,father 
418,weź ,take it 
420,samochód ,car 
421,nowy ,new 
422,jednak ,But 
423,świat ,world 
424,źle ,Badly 
425,którego ,whose 
426,niczego ,nothing 
427,oto ,here 
428,dwóch ,two 
429,sprawa ,thing 
430,swój ,your 
431,idzie ,goes 
432,takim ,like this 
433,jedną ,one 
434,wystarczy ,enough 
435,byłam ,I was 
436,rano ,in the morning 
437,nimi ,them 
438,halo ,Hello 
439,byś ,you would 
440,życiu ,life 
441,całe ,all 
442,wiedziałem ,I knew 
443,swojego ,your own 
444,śmierć ,death 
445,ręce ,hands 
446,musiał ,he had to 
447,którym ,which 
448,całą ,whole 
449,chcą ,they want 
450,da ,yes 
451,właściwie ,actually 
452,zrób ,make 
453,panowie ,gentlemen 
454,skoro ,since 
455,drogi ,Dear 
456,czujesz ,you feel 
457,dam ,I'll give it 
458,pozwól ,let me 
459,wyglądasz ,you look 
460,jednego ,one 
461,jedna ,one 
462,mówił ,he spoke 
463,których ,which 
464,świecie ,world 
465,patrz ,Look 
466,nikogo ,nobody 
467,byli ,they were 
468,pytanie ,question 
469,swoim ,your own 
470,której ,which 
471,powinienem ,I should 
472,jezu ,Jesus 
473,dać ,to give 
474,rzecz ,thing 
475,powiedziała ,she said 
476,powiedziałeś ,You said 
477,najpierw ,firstly 
478,sądzę ,I think so 
479,prawo ,law 
480,matka ,mother 
481,widzieć ,see 
482,John  (this is not Polish given name - see Jan),John (this is not Polish given name - see Jan)
483,dr ,Dr 
484,telefon ,Telephone 
485,podczas ,while 
486,wczoraj ,Yesterday 
487,śmierci ,death 
488,pracę ,work 
489,pamiętam ,I remember 
490,uważaj ,be careful 
491,parę ,a couple 
492,wrócić ,come back 
493,diabła ,devil 
494,the ,the 
495,robię ,I am doing 
496,zrobiłem ,I did 
497,kobiety ,women 
498,poważnie ,seriously 
499,miejsca ,places 
500,znów ,again 
501,cholery ,damn 
502,zrobiłeś ,you did 
503,sprawę ,matter 
504,zaczekaj ,Wait 
505,powiesz ,you say 
506,rób ,do 
507,natychmiast ,immediately 
508,dziewczyna ,girl 
509,również ,also 
510,działa ,works 
511,słyszałem ,I heard 
512,pięć ,five 
513,super ,cool 
514,swoich ,their own 
515,mówią ,they say 
516,witam ,Hello 
517,całkiem ,quite 
518,cokolwiek ,whatever 
519,witaj ,Hello 
520,gdybym ,if 
521,żona ,wife 
522,prawdę ,truth 
523,zostaw ,leave 
524,bóg ,God 
525,wierzę ,I believe 
526,szybciej ,faster 
527,nieźle ,not bad 
528,wielu ,many 
529,inaczej ,otherwise 
530,gra ,game 
531,dopiero ,only 
532,wcale ,at all 
533,pieniędzy ,money 
534,pójdę ,I'll go 
535,godziny ,hours 
536,wiedział ,he knew 
537,udało ,it worked 
538,człowieka ,human 
539,stać ,be 
540,wina ,fault 
541,wiecie ,you know 
542,swojej ,yours 
543,poznać ,to get to know 
544,inne ,other 
545,jednym ,one 
546,myślałam ,I thought 
547,miałam ,I had 
548,chwili ,moment 
549,innych ,other 
550,dopóki ,until 
551,nowa ,new 
552,kobieta ,woman 
553,nowego ,new 
554,miłość ,love 
555,ziemi ,earth 
556,inny ,other 
557,przynajmniej ,at least 
558,nasza ,our 
559,ważne ,important 
560,wiadomość ,message 
561,dolarów ,dollars 
562,słowa ,words 
563,słucham ,I'm listening 
564,naszych ,ours 
565,naszej ,ours 
566,między ,between 
567,dostać ,to receive 
568,czasem ,sometimes 
569,chciałam ,I wanted to 
570,jaką ,what 
571,gówno ,shit 
572,brzmi ,sounds 
573,chcemy ,we want 
574,każdego ,each 
575,raczej ,rather 
576,możliwe ,That's possible 
577,każdym ,every 
578,widziałeś ,you saw 
579,dawaj ,come on 
580,nazywa ,calls 
581,powinien ,should 
582,zabrać ,take away 
583,dziewczyny ,Girls 
584,miałeś ,you had 
585,chłopaki ,boys 
586,doktorze ,doctor 
587,potrzebuje ,I need 
588,zgadza ,that's right 
589,zrobimy ,we will do it 
590,godzin ,hours 
591,ostatni ,last 
592,wieczór ,evening 
593,świata ,world 
594,serce ,heart 
595,martw ,dead 
596,wielki ,large 
597,powrotem ,back 
598,żyć ,lives 
599,one ,they 
600,plan ,plan 
601,pl ,pl 
602,byłoby ,it would be 
603,potrzebujemy ,We need 
604,dobranoc ,Good night 
605,żadnego ,none 
606,kapitanie ,Captain 
607,zobaczenia ,see you soon 
608,możecie ,you can 
609,wspaniale ,excellent 
610,ogóle ,in general 
611,także ,too 
612,pół ,half 
613,idziesz ,you're going 
614,takich ,such 
615,pojęcia ,concepts 
616,twoich ,yours 
617,czymś ,something 
618,cztery ,four 
619,skarbie ,Honey 
620,tata ,dad 
621,naszego ,ours 
622,panią ,Mrs 
623,wybacz ,Sorry 
624,chcecie ,you want 
625,zrobisz ,you will 
626,pokój ,room 
627,poczekaj ,Wait 
628,uda ,thighs 
629,głowy ,head 
630,szczęście ,luck 
631,wyjść ,go out 
632,robota ,job 
633,naszym ,ours 
634,syn ,son 
635,gotowy ,ready 
636,cieszę ,I'm happy 
637,głowę ,head 
638,rozmawiać ,to talk 
639,krwi ,blood 
640,wszystkiego ,all 
641,zabił ,killed 
642,czasie ,time 
643,ciało ,body 
644,należy ,belongs 
645,dziwne ,Weird 
646,została ,she stayed 
647,przeciwko ,against 
648,ruszaj ,go 
649,cała ,whole 
650,strony ,pages 
651,jaka ,what 
652,mógłbym ,I could 
653,oznacza ,means 
654,pomoc ,help 
655,taką ,like this 
656,zostało ,left 
657,miasta ,cities 
658,tłumaczenie ,translation 
659,końca ,end 
660,zostanie ,will stay 
661,policja ,Police 
662,mieli ,they had 
663,pewna ,sure 
664,obchodzi ,cares 
665,ode ,ode 
666,syna ,son 
667,czasami ,Sometimes 
668,twarz ,face 
669,rok ,year 
670,mieliśmy ,we had 
671,lecz ,but 
672,ostatnio ,lately 
673,uwierzyć ,believe 
674,daleko ,far 
675,rodziny ,families 
676,mogłem ,I could 
677,lubisz ,you like 
678,blisko ,close 
679,zły ,bad 
680,środku ,middle 
681,boga ,god 
682,byliśmy ,we were 
683,drodze ,road 
684,szkoły ,schools 
685,czeka ,waiting 
686,słowo ,word 
687,radę ,advice 
688,człowiekiem ,human 
689,mogła ,she could 
690,brat ,brother 
691,mała ,little 
692,krew ,blood 
693,najbardziej ,the most 
694,wejść ,come in 
695,zewnątrz ,outside 
696,mąż ,husband 
697,robimy ,we do 
698,słyszysz ,you hear? 
699,kimś ,someone 
700,część ,Hi 
701,wieczorem ,In the evening 
702,widziałam ,I saw 
703,zna ,know 
704,wody ,water 
705,moi ,my 
706,potrzebujesz ,you need 
707,lubi ,likes 
708,wracaj ,come back 
709,rękę ,hand 
710,tydzień ,week 
711,frank ,franc 
712,wrócę ,I'll come back 
713,innym ,others 
714,wypadek ,accident 
715,mówiłeś ,you said 
716,stronie ,website 
717,mógłbyś ,you could 
718,sprawie ,case 
719,zobaczymy ,We'll see 
720,wziąć ,to take 
721,gdybyś ,if 
722,naszą ,our 
723,nazywam ,My name is 
724,późno ,late 
725,zależy ,depends 
726,człowieku ,Man 
727,góry ,mountains 
728,pomóż ,help 
729,jechać ,to go 
730,pokaż ,show 
731,ciężko ,hard 
732,napisów ,subtitles 
733,serio ,seriously 
734,roboty ,robots 
735,zrobi ,will do 
736,mniej ,less 
737,broni ,weapons 
738,kiedykolwiek ,whenever 
739,temat ,topic 
740,mało ,little 
741,popatrz ,look 
742,charlie ,Charlie 
743,prawa ,laws 
744,miesięcy ,months 
745,pójść ,go 
746,koleś ,dude 
747,jedziemy ,we drive 
748,wkrótce ,soon 
749,nowe ,new 
750,pierwsze ,first 
751,nazwisko ,last name 
752,miasto ,city 
753,racja ,right 
754,leci ,it's flying 
755,zostań ,stay 
756,stronę ,page 
757,nieważne ,Never mind 
758,chciała ,she wanted 
759,chłopak ,boy 
760,zdjęcia ,photos 
761,znalazłem ,I found 
762,powinno ,it should 
763,robią ,do 
764,powinnaś ,you should 
765,statek ,ship 
766,zostały ,left 
767,wszędzie ,everywhere 
768,prosto ,straight 
769,wielkie ,great 
770,dół ,hole 
771,zupełnie ,quite 
772,tędy ,this way 
773,spotkanie ,meeting 
774,małe ,small 
775,ponad ,above 
776,według ,According to 
777,widział ,he saw 
778,mówiąc ,speaking 
779,drogę ,way 
780,doktor ,doctor 
781,praca ,Work 
782,drugi ,second 
783,byłaś ,you were 
784,górę ,up 
785,wiedzą ,knowledge 
786,mieście ,city 
787,jakoś ,somehow 
788,film ,movie 
789,czyli ,That is 
790,chociaż ,though 
791,kłopoty ,troubles 
792,droga ,way 
793,samochodu ,car 
794,szansę ,chances 
795,zatrzymać ,stop 
796,niemożliwe ,impossible 
797,spać ,to sleep 
798,chłopcy ,boys 
799,mógłby ,could 
800,wasza ,yours 
801,sądzisz ,you think 
802,przyjaciel ,friend 
803,michael ,michael 
804,tymi ,these 
805,złe ,Badly 
806,mogli ,they could 
807,synu ,son 
808,powiedziałam ,I said 
809,szkoda ,Pity 
810,całym ,All 
811,żaden ,no 
812,taa ,yeah 
813,trzech ,three 
814,wami ,you 
815,pracuje ,He's working 
816,faceta ,man 
817,sprawdzić ,to check 
818,pogadać ,talk 
819,serca ,hearts 
820,you ,you 
821,kraju ,country 
822,dał ,gave 
823,trudno ,difficult 
824,drugiej ,second 
825,zaczyna ,begins 
826,brak ,lack 
827,choć ,though 
828,powinnam ,I should 
829,ruszać ,move 
830,chciałabym ,I would like to 
831,cicho ,quiet 
832,samego ,alone 
833,dziewczynę ,girl 
834,godzinę ,hour 
835,piękna ,Beautiful 
836,jakąś ,some 
837,tom ,volume 
838,www ,www 
839,widzenia ,goodbye 
840,spotkać ,meet 
841,pracować ,work 
842,żadnej ,none 
843,pa ,bye 
844,spróbuj ,try 
845,znać ,know 
846,ciała ,body 
847,przyjaciół ,friends 
848,razu ,right away 
849,zapomnij ,forget it 
850,harry ,harry 
851,najlepszy ,best 
852,ostatnie ,last 
853,policji ,police 
854,otwórz ,open 
855,problemy ,problems 
856,ojcem ,father 
857,przykład ,example 
858,myśleć ,think 
859,głupi ,stupid 
860,wolno ,slow 
861,słyszałeś ,did you hear 
862,powodzenia ,Good luck 
863,rodzina ,family 
864,pomoże ,will help 
865,kilku ,several 
866,uwagę ,attention 
867,muszą ,they have to 
868,chwila ,one sec 
869,jakaś ,some 
870,zdjęcie ,photo 
871,środka ,measure 
872,nowym ,new 
873,szefie ,boss 
874,odejść ,leave 
875,wspólnego ,common 
876,musiałem ,I had to 
877,sami ,themselves 
878,ziemię ,Earth 
879,dawno ,long time ago 
880,będziecie ,you will 
881,trzymać ,to hold 
882,pracuję ,He's working 
883,pewnego ,sure 
884,inni ,others 
885,gotowi ,ready 
886,sześć ,six 
887,głowie ,head 
888,zabierz ,take away 
889,sekund ,seconds 
890,zmienić ,to change 
891,zabiję ,I will kill 
892,czekać ,wait 
893,gość ,guest 
894,walczyć ,fight 
895,chwileczkę ,wait a minute 
896,wystarczająco ,sufficiently 
897,musicie ,you have to 
898,dasz ,you will 
899,tysięcy ,thousands 
900,pierwsza ,first 
901,zadzwonić ,call 
902,rady ,advice 
903,prawdopodobnie ,probably 
904,zostawić ,to leave 
905,niestety ,Unfortunately 
906,zobacz ,Look 
907,nagle ,suddenly 
908,wezmę ,i'll take 
909,zabawne ,funny 
910,żonę ,wife 
911,panem ,sir 
912,większość ,majority 
913,wracam ,I'm coming back 
914,joe ,joe 
915,wiedziałam ,I knew 
916,brata ,brother 
917,często ,often 
918,powie ,he will say 
919,dobrym ,good 
920,tyłu ,so many 
921,błąd ,mistake 
922,boję ,I'm afraid 
923,cel ,objective 
924,rany ,wounds 
925,mówiłam ,I told you 
926,wasze ,yours 
927,niczym ,like 
928,obiecuję ,I promise 
929,początku ,beginning 
930,historia ,history 
931,chciałeś ,you wanted 
932,uwaga ,Attention 
933,gotowa ,ready 
934,zacząć ,start 
935,zatem ,therefore 
936,tony ,tons 
937,istnieje ,exists 
938,jednej ,one 
939,pokazać ,show 
940,nikomu ,no one 
941,jakim ,what 
942,rodzice ,parents 
943,okay ,okay 
944,szkole ,School 
945,czuje ,I feel 
946,los ,moose 
947,george ,george 
948,david ,david 
949,obok ,Near 
950,uspokój ,calm down 
951,chodźcie ,come on 
952,miało ,was supposed to 
953,całkowicie ,entirely 
954,stój ,stop 
955,wiadomości ,the news 
956,pomyślałem ,I thought 
957,nogi ,legs 
958,org ,org 
959,ulicy ,street 
960,matki ,mothers 
961,fbi ,fbi 
962,jedź ,go 
963,wojny ,war 
964,ciągu ,within 
965,okazji ,occasion 
966,zadzwonię ,I'll call 
967,około ,about 
968,ojcze ,father 
969,samym ,alone 
970,uważam ,I think 
971,miłości ,love 
972,mike ,Mike 
973,przyszedł ,he came 
974,tygodniu ,week 
975,prawdziwe ,real 
976,zadzwoń ,call 
977,widać ,can be seen 
978,myśl ,thought 
979,pozwolić ,to let 
980,słyszę ,I hear you 
981,wracać ,return 
982,dajcie ,give 
983,historii ,history 
984,http ,http 
985,zajmę ,I'll take care of it 
986,wieku ,century 
987,jedynie ,only 
988,zamiast ,instead 
989,jakiegoś ,some 
990,umrzeć ,die 
991,wróci ,will come back 
992,przyjdzie ,will come 
993,łatwo ,easy 
994,siostra ,sister 
995,oraz ,and 
996,prawdziwy ,true 
997,czyż ,siskin 
998,następny ,next 
999,proste ,easy 
1000,rodzinę ,family 
1001,uważasz ,you think 
1002,córka ,daughter 
1003,piękne ,Beautiful 
1004,dłużej ,longer 
1005,mężczyzna ,man 
1006,przyjacielem ,friend 
1007,chryste ,Christ 
1008,niedługo ,soon 
1009,tyłek ,butt 
1010,złego ,bad 
1011,james ,James 
1012,kupić ,to buy 
1013,takiej ,like this 
1014,póki ,while 
1015,osób ,people 
1016,powiedziałaś ,you said 
1017,pytania ,questions 
1018,niby ,kind of 
1019,włosy ,hair 
1020,nienawidzę ,I hate 
1021,boli ,it hurts 
1022,moment ,moment 
1023,wrócił ,he's back 
1024,znajdę ,I will find 
1025,przysięgam ,I swear 
1026,stan ,state 
1027,strasznie ,terrible 
1028,potrafię ,I can 
1029,daje ,gives 
1030,zrobiła ,she did 
1031,spokoju ,peace 
1032,ben ,ben 
1033,spróbować ,try 
1034,męża ,husband 
1035,górze ,Mountain 
1036,wyboru ,choice 
1037,szukam ,I'm looking for 
1038,mówiła ,she said 
1039,kobietą ,woman 
1040,dowiedzieć ,find out 
1041,znaleźliśmy ,we found 
1042,żartujesz ,you're kidding 
1043,and ,and 
1044,znajdziemy ,we will find 
1045,bracie ,brother 
1046,mieszka ,lives 
1047,najlepiej ,best 
1048,najlepsze ,the best 
1049,przyjaciele ,friends 
1050,kapitan ,captain 
1051,dziewczyną ,girl 
1052,wstawaj ,get up 
1053,dziecka ,child 
1054,uwielbiam ,I love 
1055,następnym ,next 
1056,zła ,bad 
1057,ludźmi ,people 
1058,kocha ,love 
1059,zatrzymaj ,stop 
1060,twarzy ,face 
1061,tygodnie ,weeks 
1062,ludziom ,people 
1063,robił ,he did 
1064,światło ,light 
1065,jorku ,york 
1066,milionów ,millions 
1067,kochasz ,you love 
1068,zwykle ,usually 
1069,rozkaz ,command 
1070,odpowiedź ,answer 
1071,znalazł ,found 
1072,niezły ,not bad 
1073,nigdzie ,nowhere 
1074,oboje ,both 
1075,odkąd ,since 
1076,ponownie ,again 
1077,same ,themselves 
1078,walki ,fighting 
1079,głos ,voice 
1080,duży ,big 
1081,uciec ,escape 
1082,zająć ,hare 
1083,pewnością ,certainly 
1084,widzi ,sees 
1085,szpitala ,hospital 
1086,mogłeś ,you could 
1087,bogu ,god 
1088,samolot ,plane 
1089,powód ,reason 
1090,panno ,Miss 
1091,centrum ,center 
1092,świetny ,great 
1093,żony ,wives 
1094,młody ,young 
1095,tacy ,tray 
1096,stoi ,standing 
1097,wreszcie ,at last 
1098,hotelu ,hotel 
1099,wielka ,huge 
1100,zobaczysz ,you will see 
1101,mimo ,despite 
1102,jakiego ,what 
1103,seks ,sex 
1104,próbuję ,try 
1105,dostaniesz ,you will get 
1107,interes ,business 
1108,ogień ,fire 
1109,reszta ,rest 
1110,pasuje ,it suits 
1111,wasz ,yours 
1112,niektórzy ,some 
1113,powinna ,She should 
1114,sen ,dream 
1115,grać ,play 
1116,wojna ,war 
1117,dostał ,He get 
1118,mocy ,power 
1119,moglibyśmy ,we could 
1120,potrafi ,can 
1121,pamiętaj ,Remember 
1122,uciekaj ,run away 
1123,słychać ,can be heard 
1124,samej ,alone 
1125,gościa ,guest 
1126,ból ,pain 
1127,znaczenia ,meanings 
1128,kolację ,dinners 
1129,robotę ,job 
1130,patrzcie ,Look 
1131,zrobiłam ,I did 
1132,stamtąd ,from there 
1133,uważa ,thinks 
1134,przestać ,stop 
1135,każdej ,every 
1136,zrozumieć ,understand 
1137,szczerze ,Honestly 
1138,zabije ,will kill 
1139,wspaniałe ,excellent 
1140,powstrzymać ,stop 
1141,resztę ,the rest 
1142,fajnie ,Cool 
1143,łóżka ,bed 
1144,śmieszne ,funny 
1145,przyjacielu ,friend 
1146,pewne ,sure 
1147,tygodni ,weeks 
1148,pies ,dog 
1149,celu ,purpose 
1150,przyszłość ,future 
1151,jedzenie ,food 
1152,twoi ,yours 
1153,system ,system 
1154,nieprawda ,not true 
1155,poszedł ,he went 
1156,gotowe ,ready 
1157,martwy ,dead 
1158,musieli ,they had to 
1159,otworzyć ,open 
1160,pokażę ,I'll show you 
1161,biura ,offices 
1162,dzieckiem ,baby 
1163,przyjaciółmi ,friends 
1164,facetem ,guy 
1165,mocno ,tightly 
1166,pytań ,questions 
1167,zamierzam ,I intend to 
1168,puść ,let go 
1169,kobietę ,woman 
1170,siły ,strength 
1171,kolejny ,next 
1172,części ,parts 
1173,minuty ,minutes 
1174,ciekawe ,Interesting 
1175,słyszałam ,I heard 
1176,jaja ,eggs 
1177,sprawdź ,check 
1178,moc ,power 
1179,chłopcze ,boy 
1180,dosyć ,enough 
1181,małą ,little 
1182,zobaczę ,I'll see 
1183,żoną ,wife 
1184,przyjaciela ,friend 
1185,pewny ,sure 
1186,ależ ,oh 
1187,siadaj ,sit down 
1188,dobrego ,good 
1189,jadę ,I'm going 
1190,osobą ,person 
1191,szef ,boss 
1192,musiała ,she had to 
1193,filmu ,movie 
1194,pójdziesz ,you will go 
1195,informacje ,information 
1196,bob ,broad bean 
1197,lepsze ,better 
1198,przyjść ,come 
1199,szansa ,chance 
1200,niesamowite ,incredible 
1201,wierzysz ,you believe 
1202,wspaniały ,Excellent 
1203,prezent ,gift 
1204,robicie ,you do 
1205,hey ,hey 
1206,jimmy ,Jimmy 
1207,żebyśmy ,so that we 
1208,dostałem ,I got 
1209,paul ,Paul 
1210,sporo ,a lot 
1211,słuchać ,to listen 
1212,klucz ,key 
1213,usiądź ,sit down 
1214,list ,letter 
1215,wieści ,news 
1216,miły ,nice 
1217,policję ,the police 
1218,zamiar ,intention 
